net,length_um
u_npu.tcm_wdata_a\[5\],1.91327mm
net430,1.90658mm
u_npu.ram_rdata_a\[19\],1.906295mm
_015510_,1.90554mm
net301,1.90467mm
_015442_,1.90328mm
u_npu.tcm_wdata_a\[6\],1.90305mm
iram_s_wdata\[18\],1.902805mm
net227,1.89903mm
net5869,1.89606mm
_015212_,1.89574mm
u_npu.ram_rdata_a\[9\],1.89554mm
_027817_,1.89449mm
net2064,1.89356mm
net66,1.89317mm
net67,1.89221mm
net292,1.88634mm
_015354_,1.885695mm
net2062,1.88448mm
net257,1.88404mm
u_npu.u_npu_engine.state\[4\],1.88313mm
merged_m_araddr\[4\],1.88267mm
u_npu.ram_rdata_a\[20\],1.8821mm
net2140,1.88166mm
u_npu.tcm_wdata_a\[2\],1.87954mm
u_npu.u_npu_sram.sel_b_q\[0\],1.8789mm
clknet_7_0__leaf_clk_i_regs,1.87712mm
net271,1.87639mm
_015386_,1.87628mm
iram_s_wdata\[21\],1.87368mm
iram_s_wdata\[9\],1.87131mm
u_npu.tcm_wdata_a\[10\],1.86991mm
net65,1.8678mm
s10_rdata\[10\],1.867035mm
net340,1.86697mm
_015342_,1.86542mm
u_qspi.w_data_lat\[10\],1.86511mm
net5843,1.86511mm
net238,1.86336mm
u_npu.tcm_wdata_a\[0\],1.86196mm
u_npu.ram_rdata_a\[25\],1.861585mm
iram_s_araddr\[10\],1.85924mm
net5949,1.85909mm
net1705,1.85836mm
u_npu.u_npu_engine.state\[13\],1.85646mm
_016462_,1.85509mm
u_npu.ram_rdata_a\[21\],1.854075mm
_014532_,1.85395mm
_016340_,1.85391mm
u_npu.ram_rdata_a\[26\],1.849405mm
net1704,1.84836mm
net1717,1.84655mm
net348,1.84574mm
_020392_,1.84528mm
_015465_,1.84498mm
_016469_,1.84254mm
u_uart2.fifo_rd_data\[6\],1.84032mm
_015427_,1.8401mm
net260,1.83956mm
net5792,1.83904mm
qspi_irq,1.83835mm
iram_s_wdata\[23\],1.837705mm
net69,1.83491mm
net279,1.83452mm
net1770,1.83438mm
_015404_,1.83278mm
iram_s_wdata\[17\],1.83154mm
iram_s_wdata\[19\],1.82799mm
u_npu.ram_rdata_a\[4\],1.827785mm
net961,1.827265mm
_016489_,1.82665mm
net71,1.8264mm
net6240,1.82539mm
net345,1.82353mm
u_npu.ram_rdata_a\[23\],1.823505mm
net2004,1.82322mm
_015270_,1.82181mm
_016493_,1.82168mm
net282,1.82062mm
net32,1.8183mm
u_npu.tcm_wdata_a\[7\],1.81773mm
net337,1.81699mm
net334,1.81234mm
net1701,1.81133mm
net33,1.81041mm
iram_s_wdata\[24\],1.80988mm
net323,1.80984mm
net326,1.80955mm
u_npu.tcm_wdata_a\[12\],1.80924mm
net650,1.80847mm
