Time resolution is 1 ps
[0] SoC Simülasyonu Başlatıldı.
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/ybari/OneDrive/Desktop/Arkhe_2026/cv32e40p-master/rtl/cv32e40p_load_store_unit.sv:419
[0] GPIO Çıkışı Değişti: gpio_o = 16'h0000
[150000] PC_ID=0x00000000 | x10(a0)=0x00000000 | x12(a2)=0x00000000 | x13(a3)=0x00000000 | x14(a4)=0x00000000 | x15(a5)=0x00000000 | awaddr=0x00000000 | awvalid=0 | rx_wr=0 | rx_rd=0 | rx_empty=1
[790000] PC_ID=0x0000000c | x10(a0)=0x40050000 | x12(a2)=0x01000004 | x13(a3)=0x00000017 | x14(a4)=0x00000000 | x15(a5)=0x40000537 | awaddr=0x01000000 | awvalid=0 | rx_wr=24 | rx_rd=1 | rx_empty=0
[810000] PC_ID=0x0000000c | x10(a0)=0x40050000 | x12(a2)=0x01000004 | x13(a3)=0x00000017 | x14(a4)=0x00000000 | x15(a5)=0x40000537 | awaddr=0x01000000 | awvalid=0 | rx_wr=24 | rx_rd=1 | rx_empty=0
[830000] PC_ID=0x0000000c | x10(a0)=0x40050000 | x12(a2)=0x01000004 | x13(a3)=0x00000017 | x14(a4)=0x00000000 | x15(a5)=0x40000537 | awaddr=0x40050008 | awvalid=0 | rx_wr=24 | rx_rd=1 | rx_empty=0
[850000] PC_ID=0x0000000c | x10(a0)=0x40050000 | x12(a2)=0x01000004 | x13(a3)=0x00000017 | x14(a4)=0x00000000 | x15(a5)=0x40000537 | awaddr=0x40050008 | awvalid=0 | rx_wr=24 | rx_rd=1 | rx_empty=0
[870000] PC_ID=0x0000000c | x10(a0)=0x40050000 | x12(a2)=0x01000004 | x13(a3)=0x00000017 | x14(a4)=0x00000000 | x15(a5)=0x40000537 | awaddr=0x40050008 | awvalid=0 | rx_wr=24 | rx_rd=1 | rx_empty=0
[870000] [QSPI_MASTER] Read from RX_FIFO[1] = 0x400605b7, rx_empty=0, rx_wr_ptr=24
[890000] PC_ID=0x00000010 | x10(a0)=0x40050000 | x12(a2)=0x01000004 | x13(a3)=0x00000017 | x14(a4)=0x00000000 | x15(a5)=0x40000537 | awaddr=0x40050008 | awvalid=0 | rx_wr=24 | rx_rd=2 | rx_empty=0
[910000] PC_ID=0x00000014 | x10(a0)=0x40050000 | x12(a2)=0x01000004 | x13(a3)=0x00000017 | x14(a4)=0x00000000 | x15(a5)=0x400605b7 | awaddr=0x40050008 | awvalid=0 | rx_wr=24 | rx_rd=2 | rx_empty=0
[930000] PC_ID=0x00000014 | x10(a0)=0x40050000 | x12(a2)=0x01000004 | x13(a3)=0x00000017 | x14(a4)=0x00000000 | x15(a5)=0x400605b7 | awaddr=0x01000004 | awvalid=1 | rx_wr=24 | rx_rd=2 | rx_empty=0
[950000] PC_ID=0x00000014 | x10(a0)=0x40050000 | x12(a2)=0x01000004 | x13(a3)=0x00000017 | x14(a4)=0x00000000 | x15(a5)=0x400605b7 | awaddr=0x01000004 | awvalid=1 | rx_wr=24 | rx_rd=2 | rx_empty=0
[970000] PC_ID=0x00000014 | x10(a0)=0x40050000 | x12(a2)=0x01000004 | x13(a3)=0x00000017 | x14(a4)=0x00000000 | x15(a5)=0x400605b7 | awaddr=0x01000004 | awvalid=1 | rx_wr=24 | rx_rd=2 | rx_empty=0
[990000] PC_ID=0x00000014 | x10(a0)=0x40050000 | x12(a2)=0x01000004 | x13(a3)=0x00000017 | x14(a4)=0x00000000 | x15(a5)=0x400605b7 | awaddr=0x01000004 | awvalid=1 | rx_wr=24 | rx_rd=2 | rx_empty=0
