Metric,Value
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,1497
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,1497
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79693
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79997
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0030687
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.00331637
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000313576
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00331637
design_powergrid__voltage__worst,0.00331637
design_powergrid__voltage__worst__net:VPWR,1.79693
design_powergrid__drop__worst,0.00331637
design_powergrid__drop__worst__net:VPWR,0.0030687
design_powergrid__voltage__worst__net:VGND,0.00331637
design_powergrid__drop__worst__net:VGND,0.00331637
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000031800000000000000466814087385358789106248877942562103271484375
ir__drop__worst,0.0030699999999999998123723088383485446684062480926513671875
design__xor_difference__count,0
magic__drc_error__count,7658
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
