Metric,Value
timing__setup__wns__corner:max_ss_100C_1v60,-9.231106806899682
timing__hold_vio__count__corner:max_ss_100C_1v60,16
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.951665
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,1890
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-9.231107
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,1889
timing__unannotated_net__count__corner:max_ss_100C_1v60,1432
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,2429
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,17
design__max_cap_violation__count__corner:max_ff_n40C_1v95,1762
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-1.3189143484006516
clock__skew__worst_setup__corner:max_ff_n40C_1v95,1.398864619289526
timing__hold__ws__corner:max_ff_n40C_1v95,-0.049374727925962335
timing__setup__ws__corner:max_ff_n40C_1v95,2.567138574378117
timing__hold__tns__corner:max_ff_n40C_1v95,-0.049374727925962335
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,-0.049374727925962335
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,1
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,-0.049375
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,1
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,3.576268
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,1432
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,1432
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.7983
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79998
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.00170492
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.00171846
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000015374
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00171846
design_powergrid__voltage__worst,0.00171846
design_powergrid__voltage__worst__net:VPWR,1.7983
design_powergrid__drop__worst,0.00171846
design_powergrid__drop__worst__net:VPWR,0.00170492
design_powergrid__voltage__worst__net:VGND,0.00171846
design_powergrid__drop__worst__net:VGND,0.00171846
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.0000155999999999999997175870181109758050297386944293975830078125
ir__drop__worst,0.00169999999999999990528409821166633264510892331600189208984375
design__xor_difference__count,0
magic__drc_error__count,7658
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
