net,length_um
_032096_,1.41002mm
net355,1.40951mm
net3588,1.406795mm
net7785,1.40651mm
clknet_7_80_0_clk_i_regs,1.40598mm
_032204_,1.40529mm
net363,1.40438mm
net333,1.40339mm
net1965,1.40286mm
net1955,1.40221mm
net246,1.40112mm
net2273,1.40103mm
_032084_,1.39856mm
net1956,1.39806mm
net395,1.39744mm
_032066_,1.39677mm
net1963,1.39604mm
net3169,1.39496mm
clknet_leaf_12_clk_i,1.39484mm
net371,1.39393mm
net1966,1.39338mm
net7888,1.39144mm
net60,1.39088mm
net1967,1.39046mm
net1431,1.38879mm
net310,1.38803mm
_033618_,1.38555mm
net2178,1.38524mm
net6414,1.38448mm
net1957,1.38426mm
_032099_,1.382595mm
clknet_leaf_13_clk_i,1.37964mm
net1892,1.378645mm
_032219_,1.37863mm
_032170_,1.37814mm
net274,1.37502mm
net1905,1.374605mm
clknet_leaf_10_clk_i,1.37433mm
net1600,1.37431mm
_032065_,1.37042mm
net3545,1.37003mm
net2275,1.37002mm
iram_s_wdata\[8\],1.36868mm
_033850_,1.36806mm
net1904,1.36712mm
net1964,1.36704mm
clknet_7_81_0_clk_i_regs,1.3664mm
net7734,1.36626mm
net1800,1.36605mm
_032174_,1.3622mm
u_npu.tcm_we_a\[2\],1.36157mm
net2934,1.36033mm
_000080_,1.36022mm
_032081_,1.35802mm
_032215_,1.35748mm
_031867_,1.35742mm
net7881,1.35702mm
_032129_,1.35686mm
_032216_,1.35658mm
_031827_,1.35556mm
net598,1.3539mm
net3826,1.353575mm
_033880_,1.35336mm
_032125_,1.352615mm
_033865_,1.35234mm
_032069_,1.35155mm
u_npu.tcm_we_a\[1\],1.35143mm
net1802,1.35127mm
net1970,1.35072mm
_031975_,1.34776mm
net1672,1.34728mm
clknet_7_8_0_clk_i_regs,1.346735mm
_032050_,1.34633mm
net379,1.34621mm
s10_rdata\[6\],1.34572mm
net1675,1.34503mm
net1744,1.34473mm
clknet_7_11_0_clk_i_regs,1.344655mm
net1954,1.34456mm
net3583,1.34442mm
net2363,1.34417mm
net1742,1.343405mm
net3700,1.34316mm
iram_s_wdata\[2\],1.34103mm
net2899,1.3401mm
_032171_,1.33888mm
clknet_7_99_0_clk_i_regs,1.338105mm
_032111_,1.33686mm
u_npu.u_npu_engine.state\[16\],1.33537mm
iram_s_wdata\[10\],1.33502mm
net3551,1.335015mm
net2409,1.33307mm
net2390,1.33253mm
net2148,1.331975mm
u_npu.tcm_addr_a\[0\],1.33135mm
_033873_,1.32952mm
net2140,1.32943mm
u_npu.tcm_we_a\[0\],1.32864mm
_032231_,1.32843mm
_059884_,1.32502mm
_033669_,1.32162mm
net1902,1.32088mm
net2261,1.32074mm
_033858_,1.32039mm
_033895_,1.32004mm
net2129,1.318435mm
net1899,1.31834mm
_034523_,1.31732mm
net1953,1.317mm
_071301_,1.31549mm
_033867_,1.31458mm
_033843_,1.31432mm
u_npu.u_npu_engine.state\[3\],1.31344mm
net1901,1.31306mm
net2188,1.31296mm
net2796,1.31245mm
net2990,1.31191mm
net1676,1.31126mm
debug_req,1.31078mm
net2790,1.310545mm
net7873,1.30944mm
net7861,1.30837mm
net2965,1.30726mm
_033737_,1.30638mm
net2876,1.3062mm
net2146,1.30447mm
_032155_,1.30414mm
_033828_,1.30396mm
_032245_,1.30344mm
net2400,1.30287mm
net3561,1.302025mm
_032140_,1.30056mm
_032230_,1.299385mm
net1909,1.299055mm
clknet_leaf_2_clk_i,1.29829mm
net1799,1.29584mm
_071294_,1.2946mm
_032185_,1.2944mm
net2983,1.29394mm
_034658_,1.29367mm
net3633,1.29353mm
_071282_,1.29338mm
_032201_,1.29274mm
net2378,1.29246mm
u_npu.tcm_wdata_a\[6\],1.29165mm
_033888_,1.29142mm
_032159_,1.29117mm
_032156_,1.28912mm
net2402,1.28876mm
net264,1.28869mm
net7949,1.28783mm
u_npu.axi_ram_addr_a\[7\],1.28774mm
net1898,1.287655mm
_033820_,1.28746mm
data_axil_wdata\[21\],1.28741mm
_031826_,1.28388mm
_059120_,1.282275mm
net1895,1.28203mm
_000224_,1.28mm
net6076,1.27926mm
net7947,1.27713mm
_032126_,1.27706mm
_032246_,1.27671mm
net2403,1.27395mm
net3546,1.27385mm
net7764,1.27359mm
net2391,1.272925mm
net1044,1.27289mm
net2766,1.27273mm
_032249_,1.27268mm
_034547_,1.27189mm
_034252_,1.271mm
net9179,1.2707mm
net3401,1.27044mm
net2792,1.26884mm
